vehicle_id,source_lat,source_lng,target_lat,target_lng
2,30.32286523,-9.49809318,30.3239237,-9.49795391
2,30.3239237,-9.49795391,30.32666482,-9.49734188
2,30.32666482,-9.49734188,30.32828026,-9.49901962
2,30.32828026,-9.49901962,30.329708,-9.497851
2,30.329708,-9.497851,30.330282,-9.49757
2,30.330282,-9.49757,30.32865331,-9.49741237
2,30.32865331,-9.49741237,30.327503,-9.486305
2,30.327503,-9.486305,30.33704185,-9.49486916
2,30.33704185,-9.49486916,30.3374596,-9.49665727
2,30.3374596,-9.49665727,30.38875568,-9.51394577
2,30.38875568,-9.51394577,30.390433,-9.522205570492089
3,30.390433,-9.522205570492089,30.38677233,-9.51848343
3,30.38677233,-9.51848343,30.38183013,-9.5108871
3,30.38183013,-9.5108871,30.37902468,-9.50888295
3,30.37902468,-9.50888295,30.37711273,-9.50993488
3,30.37711273,-9.50993488,30.3756733333,-9.5094016667
3,30.3756733333,-9.5094016667,30.374834,-9.509841
3,30.374834,-9.509841,30.374696,-9.510618
3,30.374696,-9.510618,30.37447035,-9.50609109
3,30.37447035,-9.50609109,30.349191,-9.50625
3,30.349191,-9.50625,30.348946,-9.5059969
3,30.348946,-9.5059969,30.34872937,-9.5065068
3,30.34872937,-9.5065068,30.34868065,-9.50547809
3,30.34868065,-9.50547809,30.34994719,-9.49507451
3,30.34994719,-9.49507451,30.34975,-9.49497
3,30.34975,-9.49497,30.34941064,-9.49296258
3,30.34941064,-9.49296258,30.34920456,-9.49266632
3,30.34920456,-9.49266632,30.34879447,-9.49148555
3,30.34879447,-9.49148555,30.34866839,-9.49012926
3,30.34866839,-9.49012926,30.34970333,-9.48947202
3,30.34970333,-9.48947202,30.34780293,-9.49045771
3,30.34780293,-9.49045771,30.34710495,-9.49056545
3,30.34710495,-9.49056545,30.34669657,-9.49014214
3,30.34669657,-9.49014214,30.34713198,-9.4890893
3,30.34713198,-9.4890893,30.347009,-9.486204
3,30.347009,-9.486204,30.34727564,-9.48552657
3,30.34727564,-9.48552657,30.34501602,-9.48554064
3,30.34501602,-9.48554064,30.34353915,-9.48492658
3,30.34353915,-9.48492658,30.34354462,-9.48487315
3,30.34354462,-9.48487315,30.34319359,-9.48365033
